algorithm,column,f_total,f_ref,gap,sparsity,time
A1-Prox-NAG,31,17.523218224715425,17.5232073245982,1.0900117224821315e-05,0.0,0.025002241134643555
A1-Prox-NAG,32,19.127444918322624,19.12743089883932,1.4019483302263325e-05,0.0,0.02844715118408203
A1-Prox-NAG,33,17.09041955337814,17.09040579622989,1.3757148249027296e-05,0.0,0.027186870574951172
A1-Prox-NAG,34,17.683613646553695,17.683600982576355,1.266397734056568e-05,0.0,0.026777029037475586
A1-Prox-NAG,35,18.072567959194256,18.072555997113856,1.1962080399996466e-05,0.0,0.027194976806640625
A1-Prox-NAG,36,17.819548933824567,17.819535929196753,1.3004627813728575e-05,0.0,0.027298927307128906
A1-Prox-NAG,37,18.019940446614036,18.019926814918215,1.3631695821914036e-05,0.0,0.026295900344848633
A1-Prox-NAG,38,18.45486201137956,18.4548507315106,1.1279868960656358e-05,0.0,0.02724623680114746
A1-Prox-NAG,39,18.90913059188361,18.909117352733706,1.3239149904364922e-05,0.0,0.02722001075744629
A1-Prox-NAG,40,19.37746564222864,19.37745274315677,1.289907186929895e-05,0.0,0.026103973388671875
A1-Prox-NAG,41,18.691489469879752,18.691476138350758,1.3331528993631991e-05,0.005,0.028276920318603516
A1-Prox-NAG,42,18.533737817366426,18.53372307969972,1.4737666706565733e-05,0.0,0.02618885040283203
A1-Prox-NAG,43,17.919494125485947,17.9194797345055,1.4390980446421509e-05,0.0,0.028361797332763672
A1-Prox-NAG,44,19.478672770692995,19.47866019558779,1.2575105206025228e-05,0.0,0.026936054229736328
A1-Prox-NAG,45,18.83817412636243,18.83816139021186,1.2736150569736537e-05,0.0,0.026175975799560547
A1-Prox-NAG,46,19.015643249938893,19.015631645333922,1.1604604971182653e-05,0.0,0.02764415740966797
A1-Prox-NAG,47,18.343348646731524,18.34333701170385,1.1635027675538367e-05,0.005,0.02681899070739746
A1-Prox-NAG,48,18.644611089975616,18.644598466999238,1.2622976377940631e-05,0.0,0.027506113052368164
A1-Prox-NAG,49,19.22544469129309,19.225431833385578,1.28579075138191e-05,0.0,0.02534008026123047
A1-Prox-2Phase,0,18.5832179822922,18.58321715798089,8.243113107653244e-07,0.0,0.0443270206451416
A1-Prox-2Phase,1,17.84700371015779,17.847003148211627,5.619461624917221e-07,0.005,0.047039031982421875
A1-Prox-2Phase,2,18.230003407821396,18.230002819932793,5.878886035759479e-07,0.0,0.048316001892089844
A1-Prox-2Phase,3,18.564975346472856,18.564974835233198,5.1123965860711e-07,0.0,0.04822874069213867
A1-Prox-2Phase,4,17.996894648771963,17.996893973728284,6.750436796210124e-07,0.0,0.046874046325683594
A1-Prox-2Phase,5,19.04695609611867,19.0469551408465,9.552721706995726e-07,0.01,0.042656898498535156
A1-Prox-2Phase,6,18.256963845762748,18.256963221275626,6.244871215699277e-07,0.0,0.0430760383605957
A1-Prox-2Phase,7,18.792760850116856,18.792760336240008,5.138768486290246e-07,0.0,0.04840683937072754
A1-Prox-2Phase,8,18.72774761071472,18.727747028042796,5.82671923154976e-07,0.005,0.044576168060302734
A1-Prox-2Phase,9,19.062030995592714,19.06203059355422,4.0203849493991584e-07,0.0,0.05183076858520508
